graph_id,model,graph_seed,sampler,sample_frac,rep_seed,degree_JS,clustering_JS,betweenness_JS,re_avg_shortest_path_lcc,re_avg_clustering,re_avg_degree,is_pareto
BA_n1000_s45,BA,45,random_edge,0.5,45005,0.0730648657709784,0.0337866602509778,0.0256683513137916,0.0020402268032239,0.4248981660464564,0.2016080402010049,True
BA_n1000_s45,BA,45,random_edge,0.5,45006,0.12133090582824,0.0374857337522886,0.0282768588221616,0.0124586049310187,0.4076959910665578,0.1481407035175878,True
BA_n1000_s45,BA,45,random_edge,0.5,45008,0.1332727927559511,0.0385434709300696,0.0271987948840652,0.0061203415816024,0.3869993723521354,0.1719074413986098,True
BA_n1000_s45,BA,45,random_edge,0.5,45009,0.055893623257957,0.0376885919075747,0.0258166459021485,0.0161411951149709,0.4288219612113582,0.1462301527598069,True
BA_n1000_s45,BA,45,random_walk,0.5,45000,0.0612091825122091,0.044967680007282,0.0237678732074156,0.0086202045386385,0.3240098075087076,0.1674371859296481,True
BA_n1000_s45,BA,45,random_walk,0.5,45004,0.058832554193588,0.037739562559034,0.0242456386985594,0.0040561933958605,0.1798144749038051,0.1939698492462311,True
BA_n1000_s45,BA,45,random_walk,0.5,45005,0.1203185923890003,0.0455649488253642,0.0273675100335833,0.0056231342042521,0.3995640730892388,0.1774874371859296,True
BA_n1000_s45,BA,45,random_walk,0.5,45006,0.053911620484483,0.0396962272656025,0.025311142987082,0.0151277446996696,0.3849656989478401,0.1549748743718592,True
BA_n1000_s45,BA,45,random_walk,0.5,45007,0.0499865289338525,0.0557941761637291,0.0332885991165068,0.0063246905784896,0.4116505952656693,0.1630150753768844,True
BA_n1000_s45,BA,45,random_walk,0.5,45008,0.0667480951719869,0.0323323661590751,0.0288612876198297,0.0023599562796376,0.3650572859872991,0.1823115577889447,True
BA_n1000_s45,BA,45,preferential_random_walk,0.5,45000,0.1080145563675222,0.0492316856791366,0.0243655748317978,0.0381930904748896,0.5660029198623024,0.1135678391959798,True
BA_n1000_s45,BA,45,preferential_random_walk,0.5,45001,0.0492255592086881,0.0506335795323577,0.0244781728163943,0.0264628528612011,0.5207430841620556,0.1268341708542712,True
BA_n1000_s45,BA,45,preferential_random_walk,0.5,45002,0.0443350760369345,0.0446824307735799,0.0255351298159393,0.0332311247015466,0.6005973780047982,0.1288442211055276,True
BA_n1000_s45,BA,45,preferential_random_walk,0.5,45003,0.0552348854909782,0.0457659946190723,0.02839099172126,0.0339622485858094,0.8356790905584469,0.1216080402010049,True
BA_n1000_s45,BA,45,preferential_random_walk,0.5,45004,0.0641167077346027,0.0433965632178705,0.0242284196374873,0.0242856089411536,0.5685170539713816,0.1457286432160803,True
BA_n1000_s45,BA,45,preferential_random_walk,0.5,45005,0.1140353181877736,0.041163072180912,0.0230326021209453,0.0342122284432964,0.6716725976972765,0.1268341708542712,True
BA_n1000_s45,BA,45,preferential_random_walk,0.5,45006,0.062754267107856,0.0416158021711077,0.02371902700905,0.0287852463759185,0.6544059461445172,0.1453266331658291,True
BA_n1000_s45,BA,45,preferential_random_walk,0.5,45007,0.0519235390988027,0.0389306142552718,0.0206967731511695,0.032706973387461,0.7708662154955093,0.1268341708542712,True
BA_n1000_s45,BA,45,preferential_random_walk,0.5,45008,0.050918833834661,0.0325186882885211,0.0234885602373559,0.0325913913028165,0.5391289791112379,0.1268341708542712,True
BA_n1000_s45,BA,45,preferential_random_walk,0.5,45009,0.1260984121164898,0.0403828230754531,0.0261407963601807,0.0249952291817617,0.6650338101617519,0.140502512562814,True
BA_n1000_s45,BA,45,metropolis_hastings_rw,0.5,45000,0.1312833220403688,0.0371109484073622,0.0421298443801114,0.0399780301211885,0.01996439500116,0.2450251256281407,True
BA_n1000_s45,BA,45,metropolis_hastings_rw,0.5,45004,0.0602391047522344,0.0284163428857198,0.0314729946826849,0.0370078393413705,0.0450601181593666,0.2438190954773868,True
BA_n1000_s45,BA,45,metropolis_hastings_rw,0.5,45007,0.06866385288879,0.036854477057104,0.0405170277029093,0.0327796854077472,0.1822186274373363,0.2393969849246231,True
BA_n1000_s45,BA,45,metropolis_hastings_rw,0.5,45009,0.1213054473169527,0.0370076789840422,0.0297804613453981,0.0137516487287143,0.060998934227693,0.2024120603015075,True
WS_n1000_s45,WS,45,snowball,0.05,45000,0.5821421244429464,0.6030115202890485,0.0526878436963639,0.2865054702834408,1.274153692199669,0.648,True
WS_n1000_s45,WS,45,snowball,0.05,45002,0.5191641243094274,0.5145486462055492,0.1781579974449794,0.0086321081993136,0.90672601700907,0.596,True
WS_n1000_s45,WS,45,snowball,0.05,45006,0.4051068985682154,0.5467614245092736,0.2283991826934488,0.014068256997154,0.8095715302578153,0.536,True
WS_n1000_s45,WS,45,snowball,0.05,45009,0.5023734358164689,0.5397058313758664,0.0645892945732993,0.0843486868637491,1.4336435242469143,0.604,True
WS_n1000_s45,WS,45,preferential_random_walk,0.05,45003,0.6832569863007827,0.4698657232248373,0.3535606846573909,0.0131313625087073,0.061673035835371,0.712,True
WS_n1000_s45,WS,45,preferential_random_walk,0.05,45005,0.6931471803255091,0.551334323895451,0.2451056831813144,0.0002136277693246,0.2941309004986453,0.78,True
WS_n1000_s45,WS,45,snowball,0.1,45001,0.3989632689356879,0.3801645629284135,0.138952828870505,0.0413256470236995,0.5178161627109404,0.528,True
WS_n1000_s45,WS,45,snowball,0.1,45003,0.3912608898342097,0.3387827879543004,0.1805721212637873,0.0053946710995895,0.2484189350275996,0.5519999999999999,True
WS_n1000_s45,WS,45,snowball,0.1,45004,0.4209119822017093,0.4029158290228722,0.1196464314426458,0.0492853952003354,0.4134430618103427,0.5559999999999999,True
WS_n1000_s45,WS,45,snowball,0.1,45005,0.3792436618535142,0.4415833715100932,0.2009781757342699,0.0552271790505004,0.0070534548183648,0.5599999999999999,True
WS_n1000_s45,WS,45,preferential_random_walk,0.3,45007,0.5803885335213017,0.307111889303935,0.3283805567229798,0.4375929214304322,3.401603808452001e-05,0.5860000000000001,True
WS_n1000_s45,WS,45,snowball,0.5,45000,0.2585833894939931,0.1042317680075959,0.137048023568342,0.0821645089985993,0.0276496403496714,0.3304,True
WS_n1000_s45,WS,45,snowball,0.5,45005,0.2470488153195979,0.1089785662818715,0.1405562485301938,0.0884612451800258,0.1356260047451421,0.3203999999999999,True
WS_n1000_s45,WS,45,snowball,0.5,45006,0.241382187136673,0.1203121542071753,0.1305059008807815,0.0921645534605185,0.1218518980877583,0.3212,True
WS_n1000_s45,WS,45,snowball,0.5,45008,0.2386307396366713,0.1110670638022987,0.1508444746405176,0.0983878907390883,0.1467134176978856,0.3188,True
WS_n1000_s45,WS,45,snowball,0.5,45009,0.2461296923950935,0.1255038084602012,0.1402753551534572,0.0834056177196294,0.1401580207405154,0.3136,True
WS_n1000_s45,WS,45,random_walk,0.5,45000,0.4268080986610675,0.0997725567396846,0.1919942507547625,0.1910840324194586,0.0076781650908191,0.418,True
WS_n1000_s45,WS,45,metropolis_hastings_rw,0.5,45001,0.390724822127403,0.0961411798259498,0.1940250151897508,0.1674273436078543,0.0131580437204511,0.3952,True
WS_n1000_s45,WS,45,metropolis_hastings_rw,0.5,45002,0.3770689605448724,0.1017970693770009,0.1880079457166574,0.1447893425995328,0.0193498703831281,0.382,True
WS_n1000_s45,WS,45,metropolis_hastings_rw,0.5,45003,0.3508265521634543,0.0894795844945355,0.1932900359429876,0.1618512511999292,0.0650106684710458,0.3748,True
WS_n1000_s45,WS,45,metropolis_hastings_rw,0.5,45004,0.3754323732610352,0.0950572098693328,0.181023639905024,0.1548294228266465,0.0594272129164633,0.3783999999999999,True
WS_n1000_s45,WS,45,metropolis_hastings_rw,0.5,45006,0.4098243850144931,0.094249569370726,0.2040645970744402,0.1763330771544567,0.0175220338647805,0.4011999999999999,True
WS_n1000_s45,WS,45,metropolis_hastings_rw,0.5,45007,0.3876179815529604,0.0968188438830742,0.2006884994901221,0.1632458303542048,0.0302700696655157,0.3863999999999999,True
ER_n5000_s0,ER,0,random_edge,0.05,1,0.6518829437876279,0.0344816616909475,0.0611240614501027,1.0922458470252183,1.0,0.8491483277894686,True
ER_n5000_s0,ER,0,random_edge,0.05,3,0.6691401213290193,0.0344816616909475,0.3249642473248085,0.0581306527383276,1.0,0.8602055184227012,True
ER_n5000_s0,ER,0,random_node,0.1,2,0.6665614607121108,0.0344816616914193,0.4552277721892247,0.0500851383620012,1.0,0.9044484973435888,True
ER_n5000_s0,ER,0,random_node,0.3,9,0.5143539338292753,0.0135912999109936,0.1911045750868211,0.660913789116175,0.0259992820384417,0.6988079190125023,True
ER_n5000_s0,ER,0,snowball,0.5,0,0.1765497619121927,0.0134863028810526,0.0709810037586547,0.1105734660210545,0.0710375686740331,0.3709459995242249,True
ER_n5000_s0,ER,0,snowball,0.5,5,0.1737230913506576,0.0107372583800054,0.0679512175367643,0.1062794939827361,0.2591462207160958,0.3668226151772263,True
ER_n5000_s0,ER,0,snowball,0.5,7,0.1774921444790629,0.0134469909468223,0.0754904584553886,0.1122086719087277,0.0382576679564753,0.3703116327016097,True
ER_n5000_s0,ER,0,random_walk,0.5,4,0.2049788515781825,0.0190524045194976,0.1124251311537461,0.1448180517370859,0.0103401705047812,0.3799857267464911,True
ER_n5000_s0,ER,0,preferential_random_walk,0.5,1,0.1744461761476256,0.0035909816785399,0.1056977611241818,0.1172656749159842,0.5716829767106948,0.3501704860835778,True
ER_n5000_s0,ER,0,preferential_random_walk,0.5,7,0.1746707444991652,0.0166063345270591,0.1041878429920432,0.1174624583995119,0.0261596104646801,0.3511220363175006,True
ER_n5000_s0,ER,0,preferential_random_walk,0.5,8,0.1758376182372454,0.0147249676861252,0.1004973448307905,0.117317438936917,0.0152893431657515,0.3513599238759813,True
ER_n5000_s0,ER,0,preferential_random_walk,0.5,9,0.173128811656343,0.0031058078626378,0.1012200153413157,0.1173084860402148,0.4245877270605023,0.3517564031401158,True
ER_n5000_s0,ER,0,metropolis_hastings_rw,0.5,3,0.222922650199881,0.004184664432739,0.1089261390570133,0.1591736146492245,0.0582411431034365,0.3941003885496789,True
BA_n5000_s0,BA,0,random_edge,0.5,0,0.0267926960156403,0.0138996344202546,0.0069711229532797,0.0002461981843477,0.6982852252560526,0.1742942942942943,True
BA_n5000_s0,BA,0,random_edge,0.5,2,0.0261989642822218,0.010137809184507,0.006705214988832,0.0010439450802033,0.5441619176390762,0.1775775775775776,True
BA_n5000_s0,BA,0,random_edge,0.5,3,0.0266465577468631,0.0110378712846314,0.0067874067106125,0.0028895586328881,0.5304405949587542,0.1634034034034034,True
BA_n5000_s0,BA,0,random_edge,0.5,4,0.0267648150710029,0.0119160897154917,0.0073476250858137,0.0006597899115717,0.546143129874549,0.1719719719719719,True
BA_n5000_s0,BA,0,random_edge,0.5,6,0.0274157547942257,0.0151530113624618,0.0063321236577936,0.0035709160079909,0.7591880485724279,0.1732636274819401,True
BA_n5000_s0,BA,0,random_edge,0.5,7,0.0259356114416221,0.0122373967871835,0.0072686086592462,0.0001186764250984,0.5894581618162966,0.1721321321321321,True
BA_n5000_s0,BA,0,random_edge,0.5,8,0.0275940907656695,0.0110085119365626,0.0076357812774544,0.0002163162120224,0.5992996605163318,0.1745345345345346,True
BA_n5000_s0,BA,0,random_edge,0.5,9,0.025752737932391,0.0105964370680821,0.0067393953042209,0.000851201059377,0.5610094754994089,0.1728528528528529,True
BA_n5000_s0,BA,0,snowball,0.5,0,0.0333768126283857,0.026532815416714,0.0025900936584152,0.0481611167611528,1.6777566703411668,0.1803003003003002,True
BA_n5000_s0,BA,0,snowball,0.5,3,0.0373072137744234,0.0299615753105052,0.0040129781800893,0.0473006454775679,1.848543437895052,0.1762162162162162,True
BA_n5000_s0,BA,0,snowball,0.5,4,0.0325914135952594,0.0276071108812066,0.0036297802394237,0.0513478487076495,1.6944166533857992,0.1652452452452452,True
BA_n5000_s0,BA,0,snowball,0.5,6,0.0333940989769225,0.0347232769520207,0.002859395177449,0.0703901587004297,2.0645384566570035,0.1668468468468468,True
BA_n5000_s0,BA,0,snowball,0.5,9,0.0420665869137534,0.0380572553664942,0.0028214397576867,0.0826263175414995,2.2278109385258986,0.177097097097097,True
BA_n5000_s0,BA,0,random_walk,0.5,2,0.1239349836703175,0.0097998682916903,0.0063692734758429,0.0088324759512397,0.4296169347060587,0.1908708708708709,True
BA_n5000_s0,BA,0,random_walk,0.5,5,0.0243100676095137,0.0110972230286125,0.0063832262822821,0.0001596052242966,0.561096072639761,0.1751751751751751,True
BA_n5000_s0,BA,0,random_walk,0.5,7,0.0268721053147926,0.0097917964368656,0.0077756908510271,0.0064859795695699,0.4770674918208969,0.1840640640640641,True
BA_n5000_s0,BA,0,random_walk,0.5,9,0.0257637780501932,0.0121118913563256,0.0060742017970716,0.002990713945968,0.5819337198379871,0.185105105105105,True
BA_n5000_s0,BA,0,preferential_random_walk,0.5,0,0.0232532299630057,0.0165757162469962,0.0047459483769751,0.0252680104337916,0.9219020387741226,0.1421021021021022,True
BA_n5000_s0,BA,0,preferential_random_walk,0.5,1,0.0220895672268776,0.0177649726293893,0.0057873598056055,0.0254015079138703,0.9430837828547484,0.1398598598598598,True
BA_n5000_s0,BA,0,preferential_random_walk,0.5,2,0.0220690601123226,0.0126298888577496,0.0051792982055015,0.0207404753141957,0.8089870356841706,0.1441841841841842,True
BA_n5000_s0,BA,0,preferential_random_walk,0.5,3,0.0207954197444068,0.0148779975087888,0.0059471950413016,0.0222186615489144,0.8138436763107336,0.1416216216216216,True
BA_n5000_s0,BA,0,preferential_random_walk,0.5,4,0.0220917983234301,0.0146863393575328,0.0054140426286631,0.0275677196228416,0.8221720611053619,0.1413013013013013,True
BA_n5000_s0,BA,0,preferential_random_walk,0.5,6,0.0221694158322573,0.0166695754865642,0.0053595986290489,0.024248785390113,0.9062687668482132,0.144024024024024,True
BA_n5000_s0,BA,0,preferential_random_walk,0.5,7,0.0230786455607825,0.0163071434477138,0.0062561276488422,0.0235034013312114,0.8468713908061563,0.1371371371371372,True
BA_n5000_s0,BA,0,preferential_random_walk,0.5,8,0.022172515067968,0.0140189913399943,0.0050185739098114,0.0272290264318724,0.8095650067498426,0.1336936936936936,True
BA_n5000_s0,BA,0,preferential_random_walk,0.5,9,0.0217269613771558,0.0158439059956994,0.0054618090572179,0.02479248926428,0.8358376709810506,0.1411411411411411,True
BA_n5000_s0,BA,0,metropolis_hastings_rw,0.5,0,0.0373833769818485,0.0115497201806957,0.0079558465955851,0.0608246347370337,0.0582299793597963,0.2665465465465465,True
BA_n5000_s0,BA,0,metropolis_hastings_rw,0.5,1,0.0209826860906651,0.0095782862226816,0.0076930299093827,0.0503074756723632,0.081081082957881,0.2513313313313314,True
BA_n5000_s0,BA,0,metropolis_hastings_rw,0.5,5,0.0313440177421376,0.0113083837547246,0.0083408773260952,0.0535267724927253,0.0833146662578035,0.2511711711711711,True
BA_n5000_s0,BA,0,metropolis_hastings_rw,0.5,7,0.0353004270385448,0.0127652908405256,0.0074108913766971,0.0752184014993773,0.1417938720643435,0.2727127127127127,True
BA_n5000_s0,BA,0,metropolis_hastings_rw,0.5,9,0.0339823749385731,0.0134954192559374,0.0063736202305196,0.0660722976355163,0.0398201376977713,0.2727927927927928,True
WS_n5000_s0,WS,0,random_edge,0.05,0,0.6931471803231557,0.6303437073449201,0.4403175324766825,0.004069951726587,0.5753216566795959,0.8525896414342629,True
WS_n5000_s0,WS,0,random_walk,0.05,2,0.6760045787193716,0.5632065931571386,0.0937441336693371,1.2152796275087892,0.032359275106604,0.7624000000000001,True
WS_n5000_s0,WS,0,random_node,0.1,4,0.6922565918576573,0.6338006466873356,0.5061617252669728,0.0041176623443929,0.6828100409326027,0.892,True
WS_n5000_s0,WS,0,random_edge,0.1,1,0.6922565918694271,0.6104005517533149,0.0635605488268253,2.749783149692306,0.4808571242148499,0.8124,True
WS_n5000_s0,WS,0,snowball,0.5,2,0.2479987959938997,0.1027197272975681,0.082393676758621,0.1204001548863201,0.1052479185339888,0.32144,True
WS_n5000_s0,WS,0,snowball,0.5,6,0.2410551030385704,0.1125291850658334,0.0910667267804292,0.1169247000533453,0.0529997624316654,0.3228799999999999,True
WS_n5000_s0,WS,0,snowball,0.5,9,0.2486496541430088,0.1001981505669903,0.0937891995905544,0.1178387653851099,0.0975555719782657,0.32048,True
WS_n5000_s0,WS,0,preferential_random_walk,0.5,5,0.3915642524126085,0.1065553065259786,0.1288039197852855,0.2070626495761233,0.0192784605563925,0.40288,True
WS_n5000_s0,WS,0,preferential_random_walk,0.5,6,0.4025715336056366,0.1020338225431006,0.1220610970481977,0.2040802760834422,0.0398127575033539,0.40112,True
WS_n5000_s0,WS,0,preferential_random_walk,0.5,8,0.4017707366489071,0.1131780297808781,0.1332269409474172,0.2008290252233355,0.0031242840639509,0.39664,True
WS_n5000_s0,WS,0,preferential_random_walk,0.5,9,0.3991212484520803,0.1040660865496399,0.1274229383349721,0.1922231160250044,0.0001933183437978,0.3976,True
WS_n5000_s0,WS,0,metropolis_hastings_rw,0.5,2,0.3602782438564083,0.0856932289783542,0.1214920794684149,0.1820795348893994,0.055233856793488,0.37576,True
WS_n5000_s0,WS,0,metropolis_hastings_rw,0.5,3,0.3482374731555081,0.0864396809803393,0.1266144881490264,0.1834412808270078,0.0800376420294326,0.36696,True
WS_n5000_s0,WS,0,metropolis_hastings_rw,0.5,5,0.3801758796499557,0.0971030925866157,0.1242957184807863,0.197303398693302,0.0479508699608951,0.3834399999999999,True
WS_n5000_s0,WS,0,metropolis_hastings_rw,0.5,7,0.3646942653601402,0.0865143501655898,0.128965670402519,0.1919151788450286,0.0360655965543398,0.37712,True
WS_n5000_s0,WS,0,metropolis_hastings_rw,0.5,8,0.3592724287005058,0.0933848551275639,0.1349551990438413,0.1907991663470612,0.0495954921226539,0.37936,True
ER_n5000_s15,ER,15,random_edge,0.05,15002,0.6498278481883498,0.0304022763962478,0.0620130008343728,1.375927581577094,1.0,0.840698661707031,True
ER_n5000_s15,ER,15,snowball,0.05,15007,0.5170602010208045,0.025375186337911,0.0450256602106333,0.063635540029174,17.951526312303532,0.7557918570331136,True
ER_n5000_s15,ER,15,snowball,0.1,15007,0.482947375687336,0.0169363057680998,0.0542528498417221,0.1688864183273974,8.230581455644074,0.7137427728136498,True
ER_n5000_s15,ER,15,random_edge,0.2,15002,0.5175672601294747,0.0115490794747542,0.2792374208583068,0.6534624213487226,0.0169174871786742,0.6902923219989487,True
ER_n5000_s15,ER,15,random_node,0.3,15008,0.5064693503190978,0.0092827216850015,0.1774259725771477,0.709289343682203,0.0097109254367616,0.7088909554037116,True
ER_n5000_s15,ER,15,random_edge,0.3,15004,0.418877235241421,0.007233118728386,0.2273070066425639,0.3827802907464492,0.0179250487370964,0.590830065095217,True
ER_n5000_s15,ER,15,random_node,0.5,15003,0.2993978862625241,0.0195085443344823,0.1110943242931292,0.2770798225959394,0.00116849443375,0.5009097157643634,True
ER_n5000_s15,ER,15,snowball,0.5,15000,0.1538574076427453,0.003541111241587,0.0730074665403849,0.0996534459083164,0.8354202188358857,0.3502607851857842,True
ER_n5000_s15,ER,15,snowball,0.5,15001,0.1571897387113503,0.0020969249566548,0.0713695459778945,0.100141342870772,0.5693683793996533,0.3538187846197388,True
ER_n5000_s15,ER,15,snowball,0.5,15002,0.1593091888145417,0.0103085216695802,0.0679973602632194,0.0993454917421448,0.122804260170319,0.3557595115837141,True
ER_n5000_s15,ER,15,snowball,0.5,15006,0.156580413446625,0.002540461969713,0.0637512034828885,0.0950955142618699,0.27489509763219,0.3521206485262604,True
ER_n5000_s15,ER,15,snowball,0.5,15008,0.1579662897205213,0.0105485232335296,0.0738978609507658,0.1013969849954696,0.0533431994919866,0.353091012008248,True
